Time Step, x CoM, y CoM, z CoM
5940000, -0.077900, 0.210886, 7.343869
5950000, -0.108015, 0.003084, 7.652350
5960000, -0.112896, 0.044938, 7.643818
5970000, 0.006613, -0.008307, 7.090896
5980000, 0.073477, 0.055519, 7.875495
5990000, -0.095914, -0.013808, 7.922570
6000000, 0.031022, -0.057558, 7.820793
6010000, -0.008931, -0.069616, 7.716916
6020000, -0.077232, -0.098975, 7.202738
6030000, 0.046477, -0.080222, 7.650826
6040000, -0.044847, -0.015996, 8.035288
6050000, -0.027159, 0.016768, 7.437489
6060000, 0.045318, -0.118767, 7.638794
6070000, 0.069503, -0.032742, 7.718590
6080000, -0.126225, -0.006940, 7.754444
6090000, -0.121154, 0.023409, 7.676052
6100000, 0.004502, -0.032647, 7.376043
6110000, -0.112002, -0.080855, 7.459854
6120000, -0.136824, -0.115253, 7.935835
6130000, 0.075535, -0.018562, 7.431509
6140000, 0.013932, -0.079460, 7.090696
6150000, 0.041459, -0.027512, 7.561129
6160000, 0.111765, 0.094058, 7.619236
6170000, -0.126300, -0.034830, 7.619476
6180000, -0.045987, 0.044864, 7.785200
6190000, -0.025139, -0.059430, 7.370637
6200000, 0.070950, 0.014574, 7.085237
6210000, -0.036267, -0.026217, 7.648657
6220000, -0.075676, -0.051173, 7.813941
6230000, -0.010238, 0.017116, 7.607073
6240000, 0.007996, -0.119079, 7.886753
6250000, 0.157279, 0.009451, 8.062181
6260000, -0.005976, -0.098923, 7.988468
6270000, 0.009020, 0.073041, 7.534362
6280000, 0.053084, 0.023404, 7.795999
6290000, 0.065726, 0.114126, 7.889907
6300000, 0.041465, 0.087127, 7.737234
6310000, -0.033648, -0.111838, 7.483974
6320000, -0.046756, 0.014078, 7.438447
6330000, 0.084903, 0.019618, 7.444868
6340000, 0.033349, 0.107735, 7.853344
