Time Step, x CoM, y CoM, z CoM
15396000, -0.361763, 0.474957, 0.000001
15400000, -0.302273, 0.419079, -0.000001
15404000, -0.342540, 0.413370, -0.000000
15408000, -0.401632, 0.395041, -0.000000
15412000, -0.128075, 0.550508, -0.000000
15416000, -0.224132, 0.366387, -0.000002
15420000, -0.104118, 0.602445, 0.000001
15424000, -0.251067, 0.447979, 0.000002
15428000, -0.171497, 0.452745, 0.000001
15432000, -0.164446, 0.615205, 0.000001
15436000, -0.253661, 0.458847, 0.000001
15440000, -0.093779, 0.676524, 0.000000
15444000, -0.411979, 0.597142, 0.000001
15448000, -0.263958, 0.536456, -0.000003
15452000, -0.342753, 0.442749, 0.000002
15456000, -0.533678, 0.445363, -0.000000
15460000, -0.375156, 0.371089, -0.000001
15464000, -0.256036, 0.543331, 0.000001
15468000, -0.335008, 0.488576, 0.000001
15472000, -0.260805, 0.591835, -0.000001
15476000, -0.159234, 0.599756, -0.000001
15480000, -0.167397, 0.438027, 0.000000
15484000, -0.236867, 0.245396, 0.000001
15488000, -0.120839, 0.273501, -0.000000
15492000, 0.012820, 0.358583, -0.000000
15496000, 0.074859, 0.247286, 0.000001
15500000, 0.108176, 0.394327, -0.000000
15504000, -0.002135, 0.498917, -0.000000
15508000, -0.061954, 0.508726, 0.000001
15512000, 0.069006, 0.473121, 0.000001
15516000, 0.095923, 0.526246, -0.000000
15520000, -0.008185, 0.644023, -0.000001
15524000, 0.178470, 0.552634, -0.000002
15528000, 0.467173, 0.563000, -0.000002
15532000, 0.133248, 0.459826, -0.000001
15536000, 0.203446, 0.566153, 0.000000
15540000, 0.136706, 0.248469, 0.000000
15544000, 0.296770, 0.420220, -0.000000
15548000, 0.229705, 0.574270, 0.000000
15552000, 0.251898, 0.575664, -0.000000
15556000, 0.110972, 0.791120, 0.000001
15560000, -0.269609, 0.563130, -0.000001
15564000, -0.208231, 0.746866, -0.000001
15568000, -0.193981, 0.748326, 0.000001
15572000, -0.155507, 0.698016, 0.000000
15576000, 0.100348, 0.642288, -0.000001
15580000, -0.044351, 0.686670, -0.000001
15584000, 0.027230, 0.648202, 0.000000
15588000, 0.274856, 0.513990, 0.000001
15592000, 0.015528, 0.678694, 0.000002
15596000, -0.141364, 0.700113, -0.000002
15600000, -0.333010, 0.711735, -0.000000
15604000, -0.498249, 0.388000, 0.000001
15608000, -0.682979, 0.303676, 0.000001
15612000, -0.638991, 0.447723, 0.000000
15616000, -0.344581, 0.308762, 0.000001
15620000, -0.368338, 0.432017, -0.000000
15624000, -0.185533, 0.353225, -0.000001
15628000, -0.293270, 0.309601, 0.000001
15632000, -0.129590, 0.492659, -0.000000
15636000, -0.089318, 0.623802, 0.000002
15640000, -0.230218, 0.631635, -0.000001
15644000, -0.145614, 0.490273, 0.000003
15648000, -0.153562, 0.525274, -0.000001
15652000, -0.096026, 0.465038, -0.000000
15656000, -0.151872, 0.559851, 0.000000
15660000, -0.173851, 0.454776, -0.000000
15664000, -0.013507, 0.680253, 0.000002
15668000, -0.161390, 0.487808, -0.000000
15672000, -0.360736, 0.271452, 0.000000
15676000, -0.337021, 0.151281, 0.000001
15680000, -0.371005, 0.334508, 0.000001
15684000, -0.312377, 0.332969, 0.000000
15688000, -0.103888, 0.434601, 0.000001
15692000, -0.205983, 0.518499, 0.000001
15696000, -0.393714, 0.392371, -0.000001
15700000, -0.443787, 0.377912, 0.000001
15704000, -0.320542, 0.347261, 0.000001
15708000, -0.218849, 0.199839, 0.000001
15712000, -0.265009, 0.334313, -0.000002
15716000, -0.414397, 0.301734, -0.000002
15720000, -0.328870, 0.519883, 0.000002
15724000, -0.656988, 0.193440, 0.000000
15728000, -0.567301, 0.415890, -0.000001
15732000, -0.568935, 0.118031, -0.000002
15736000, -0.443685, 0.116582, -0.000000
15740000, -0.425939, 0.461550, -0.000001
15744000, -0.296579, 0.447855, 0.000001
15748000, -0.363018, 0.395426, 0.000002
15752000, -0.452856, 0.432862, 0.000001
15756000, -0.280663, 0.341793, -0.000000
15760000, -0.322095, 0.522724, 0.000002
15764000, -0.413329, 0.408521, 0.000002
15768000, -0.313639, 0.431861, -0.000000
15772000, -0.209817, 0.404563, 0.000001
15776000, -0.249808, 0.390279, -0.000001
15780000, -0.512556, 0.082566, 0.000002
15784000, -0.456448, 0.072110, -0.000001
15788000, -0.450684, -0.001201, -0.000002
15792000, -0.495263, -0.062534, 0.000000
15796000, -0.356298, 0.024601, 0.000001
15800000, -0.454103, 0.071723, -0.000001
15804000, -0.399157, -0.049326, 0.000001
15808000, -0.415550, 0.022702, -0.000000
15812000, -0.267650, 0.246128, 0.000000
15816000, -0.378184, -0.069981, -0.000001
15820000, -0.322774, -0.153216, 0.000000
15824000, -0.242369, -0.315154, -0.000000
15828000, -0.146536, -0.514644, 0.000001
15832000, -0.325174, -0.420042, 0.000001
15836000, -0.392294, -0.176466, 0.000001
15840000, -0.495389, -0.232787, 0.000001
15844000, -0.636845, -0.365416, 0.000001
15848000, -0.679960, -0.215423, 0.000001
15852000, -0.692318, -0.350178, 0.000002
15856000, -0.713803, -0.156339, 0.000002
15860000, -0.794485, -0.135596, 0.000001
15864000, -0.745354, -0.197530, -0.000001
15868000, -0.568336, -0.278037, -0.000002
15872000, -0.565948, -0.124483, -0.000002
15876000, -0.683017, -0.214249, 0.000001
15880000, -0.402300, -0.482724, 0.000002
15884000, -0.227133, -0.700489, 0.000000
15888000, -0.280093, -0.610838, 0.000000
15892000, -0.245854, -0.657696, 0.000002
15896000, -0.133339, -0.751457, 0.000002
15900000, -0.084061, -0.675647, -0.000001
15904000, 0.067233, -0.730967, -0.000000
15908000, -0.019575, -0.611238, -0.000001
15912000, 0.260069, -0.680499, -0.000001
15916000, 0.161358, -0.648112, 0.000003
15920000, 0.001336, -0.657444, -0.000002
15924000, -0.054402, -0.561196, -0.000001
15928000, -0.211591, -0.663924, -0.000001
15932000, -0.044252, -0.739045, -0.000002
15936000, -0.127308, -0.561585, 0.000001
15940000, -0.071211, -0.572595, -0.000002
15944000, -0.216595, -0.410368, 0.000002
15948000, -0.448575, -0.420397, 0.000001
15952000, -0.537887, -0.358234, 0.000001
15956000, -0.493291, -0.229146, -0.000002
15960000, -0.522328, -0.047059, -0.000000
15964000, -0.451168, 0.028216, -0.000000
15968000, -0.550870, -0.035067, 0.000000
15972000, -0.585653, -0.232224, 0.000001
